word,count
und,3283969
die,2934733
der,2820787
sie,1235120
den,1226700
das,1168966
ich,980260
von,960661
sich,920796
mit,891327
nicht,883065
ein,804815
dem,762247
auf,735640
ist,688432
war,536298
eine,533028
wie,527055
aber,493973
im,456483
auch,451030
aus,373395
nach,368325
noch,350179
für,319672
wenn,288271
wir,288187
gesperrt,282612
ihr,282006
durch,279825
einen,278841
ihm,278332
hatte,277884
mir,274303
sein,266952
bei,259676
oder,239535
einer,238091
ihn,236743
einem,236479
über,232342
hat,230236
mich,224961
vor,223780
doch,214116
sind,210867
seine,202220
wird,197883
werden,194719
zum,181365
dann,180966
diese,179469
haben,176805
wieder,170964
schon,162198
ihre,159371
dieser,152983
zur,149407
unter,141709
selbst,137292
seiner,136051
sagte,134019
bis,133703
ganz,131135
wurde,131105
jetzt,129510
sehr,128345
ihnen,119256
immer,119131
seinen,110257
eines,108497
nichts,106136
ohne,106070
etwas,102501
wohl,97506
gegen,96685
meine,94754
ihrer,92636
seinem,89013
ihren,87637
einmal,80919
konnte,79456
keine,79379
viel,74648
sondern,74521
können,73904
zwei,73578
diesem,71999
dieses,71867
muß,71227
kein,69092
dich,69079
diesen,68837
ob,68191
dass,65673
würde,64838
während,64718
gut,63197
wollte,62401
dort,61399
wäre,60620
zwischen,59538
erst,58787
machen,58480
soll,58131
großen,57321
ihrem,57198
gewesen,55630
sagen,54264
sehen,54134
ins,53538
damit,52800
wurden,52642
vielleicht,50752
weiß,49538
weiter,48863
jahre,48163
gleich,47342
sollte,47330
eben,46469
euch,46067
ersten,45964
wenig,45747
mußte,45279
ließ,45269
seite,44758
drei,44300
große,43904
meiner,43437
darauf,43103
stadt,42929
werde,42847
zurück,42807
heute,42526
weit,42464
einige,42393
kommt,40515
beim,40449
macht,39877
endlich,39865
dabei,39693
seines,39163
meinen,39106
müssen,39019
dazu,38562
geht,37630
gehen,37014
machte,36956
gesicht,36671
sprach,36229
hinter,35812
nahm,35104
seit,34726
davon,34650
viele,34311
ende,34062
fragte,33905
geben,33179
hast,33120
plötzlich,32351
haus,32201
etwa,32150
keinen,31811
stehen,31098
meinem,30924
gibt,30143
steht,29781
wirklich,29589
später,29364
hielt,29102
fand,28971
neben,28834
blieb,28274
jahren,28101
zusammen,28009
letzten,28007
arbeit,27858
liegt,27788
könnte,27623
könig,27507
erste,27361
sagt,27150
stimme,27004
wußte,26989
leicht,26986
ihres,25987
wegen,25923
nehmen,25865
oben,25443
jedoch,25358
nachdem,25358
darüber,24887
überhaupt,24526
dein,24445
gute,23892
gesehen,23711
guten,23570
teil,23514
lieber,23094
gesagt,22886
glauben,22808
fuhr,22650
dadurch,22595
gehört,22548
sohn,22545
möglich,22414
weniger,22336
bereits,22258
zog,22138
natürlich,21995
deine,21982
halten,21954
hörte,21944
bleiben,21904
fraün,21788
besser,21686
frage,21686
sieht,21275
saß,21101
früher,20633
männer,20462
gern,20314
gewiß,20079
zugleich,19883
dafür,19804
stunden,19760
würden,19644
setzte,19423
schnell,19314
erhalten,19255
hoch,19238
gegeben,19227
nächsten,19162
ehe,18996
möchte,18906
uhr,18871
eigentlich,18763
vielen,18736
sprechen,18608
dagegen,18575
fühlte,18215
heißt,18031
gegenüber,17814
glaube,17628
hören,17420
jahr,17148
körper,17044
großer,17018
kirche,16979
könne,16871
bleibt,16714
konnten,16693
überall,16553
platz,16493
wahrheit,16265
ruhe,16217
findet,16201
legte,16180
unten,16154
gefühl,16101
fragen,15812
gefunden,15709
einzelnen,15681
meines,15588
seiten,15568
bitte,15564
tisch,15400
deutsche,15399
stück,15187
führte,15075
außer,15064
sicher,14822
kurz,14794
sollten,14751
sowie,14386
bekannt,14275
keiner,14237
meisten,14143
schließlich,14099
übrigen,14095
schlug,14089
halb,14058
nahe,13893
mehrere,13886
geschehen,13823
letzte,13722
lieben,13645
fünf,13633
erschien,13534
selten,13498
durchaus,13486
einigen,13476
wollten,13472
zeigte,13288
glücklich,13155
zeigen,13140
zweiten,13137
deutschland,13106
einst,13101
allgemeinen,13094
fuß,13023
zunächst,13005
suchte,12959
nimmt,12787
folgen,12720
dieselbe,12697
meist,12651
wären,12645
zeiten,12640
ausdruck,12625
draußen,12624
entgegen,12591
einzige,12578
vorher,12523
bedeutung,12508
aufs,12460
regierung,12390
dasselbe,12316
glaubte,12310
zeigt,12242
rücken,11971
jemand,11894
wahrscheinlich,11849
genannt,11794
ebenfalls,11778
müsse,11735
bestimmt,11729
reihe,11672
führt,11647
namentlich,11631
richtung,11616
einfach,11550
arbeiten,11549
freiheit,11542
gewöhnlich,11497
hinauf,11469
zweite,11363
zahl,11259
zehn,11198
wirst,11164
zeichen,11152
vgl,11144
gefahr,11134
raum,11112
lächeln,11077
erscheinen,11073
stellte,11015
mußten,10973
meister,10971
dürfen,10939
besteht,10937
folge,10904
gehalten,10902
gefallen,10841
erwiderte,10775
deutlich,10757
vielmehr,10715
ziehen,10693
spricht,10671
häufig,10643
sechs,10622
sogleich,10512
hoffnung,10510
verstehen,10504
deinen,10484
unmöglich,10446
obgleich,10398
erzählte,10359
deiner,10356
gewalt,10263
rechts,10224
kannst,10197
sehe,10149
wochen,10133
hält,10130
schiff,10018
hilfe,10016
ordnung,10016
frankreich,9975
wirkung,9936
schrieb,9896
länger,9810
eins,9809
erfahren,9788
erscheint,9755
erhob,9752
meinung,9685
sitzen,9670
gleichen,9652
beispiel,9628
folgenden,9611
vollkommen,9610
habt,9570
weißt,9561
zug,9555
zuletzt,9523
fällt,9522
zweifel,9505
herzog,9409
gesetzt,9407
entfernt,9402
geschrieben,9357
gestern,9344
schiffe,9340
sowohl,9319
erreicht,9275
dieselben,9219
geblieben,9184
verbindung,9161
einzelne,9148
erzählt,9059
früh,8979
erhielt,8978
erzählen,8973
englischen,8971
dunkel,8900
wenige,8900
schule,8890
freundlich,8802
gegend,8782
großes,8760
eindruck,8746
höchst,8717
deinem,8713
könnten,8698
helfen,8577
größten,8569
jedenfalls,8568
erscheinung,8547
müßte,8521
weiße,8500
muss,8491
mögen,8479
gewisse,8457
spiel,8433
folgte,8426
verhältnisse,8356
lächelte,8349
wobei,8347
füßen,8345
ließen,8320
tiefen,8283
absicht,8255
trägt,8237
tut,8174
bereit,8165
vorüber,8155
spielen,8143
einzigen,8124
gegenstand,8104
hört,8097
kannte,8086
täglich,8071
wirklichkeit,8068
